User Text,ID,Admiration,Approval,Caring,Desire,Curiosity,Excitement,Gratitude,Joy,Love,Optimism,Pride,Relief,Anger,Annoyance,Disappointment,Disapproval,Embarrassment,Grief,Nervousness,Remorse,Sadness,Confusion,Fear,Realization,Surprise,Negative,Positive,Neutral,Context,Desired Art,Model Response,Comfort,Inspire,Encourage,Balance,Redirect,Calm,Empathize,ArtID
I'm thrilled about what’s happening.,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,0,1,0,User is feeling optimistic about what is happening in their life.,User is seeking art that has movement and energy; keeping them motivated. ,"That's wonderful! Here's some uplifting, art to reinforce that excitement!",,,,,,,,BEghMxjPmigKpRUY0B6x
It was a fun day.,,,,,,,,1,1,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
It was a fun night.,,,,,,,,1,1,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
Justice now!,,0,0,0,1,,0,0,0,0,1,0,0,,,,,,,,,,,,,,1,1,1,User finds the injustices of the world to be overwhelming and is longing for a better place to exist; they are in need of support and solidarity.,User is seeking art that calls people to action.,,,,,,,,,ECv9xW9u10JBogZctA4x
Justice!,,0,0,0,1,,0,0,0,0,1,0,0,,,,,,,,,,,,,,1,1,1,User finds the injustices of the world to be overwhelming and is longing for a better place to exist; they are in need of support and solidarity.,User is seeking art that calls people to action.,,,,,,,,,ECv9xW9u10JBogZctA4x
Life feels overwhelming today.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,User has a lot going on in their life or one particular event or subject is really taking a toll on their mental state. ,,It's okay to feel overwhelmed. Take a moment to reflect with this calming piece.,,,,,,,,VTD3CSIMGUjmszBwGsij
Life is good!,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,0,1,0,"User is optimistic, feeling positive, motivated, and is seeking further encouragement.",User is seeking art that has movement and energy; keeping them motivated. ,"It's great when things work out! Here's some uplifting, art to reinforce that excitement!",,,,,,,,BEghMxjPmigKpRUY0B6x
Life is good.,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,0,1,0,"User is optimistic, feeling positive, motivated, and is seeking further encouragement.",User is seeking art that keeps them motivated. ,,,,,,,,,
Life sucks.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is stuck in a cycle of negativity and needs validation and comfort.,User is seeking art that will uplift them out of their dark cloud of thought and negativity and stabilize their nervous system.,Every day won't be the best; but we can certainly seek out beauty whereever we are. May I invite you to look at this art?,,,,,,,,Ibs2vCic2ZjxsRlkAFWC
"Life, wow!",,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,0,1,0,"User is optimistic, feeling positive, motivated, and is seeking further encouragement.",User is seeking art that reflects the unexplainable mechanisms and beautiful beings that make up the world we live in.,It's such a thing to be alive!,,,,,,,,BEghMxjPmigKpRUY0B6x
Life!,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is needing to process some negative emotions.,User is seeking art that will uplift them out of their dark cloud of thought and negativity and stabilize their nervous system.,Every day won't be the best; but we can certainly seek out beauty whereever we are. May I invite you to look at this art?,,,,,,,,Ibs2vCic2ZjxsRlkAFWC
Life.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is stuck in a cycle of negativity and needs validation and comfort.,User is seeking art that will uplift them out of their dark cloud of thought and negativity and stabilize their nervous system.,Here's a piece to brighten your day and lift your spirits.,,,,,,,,"Ibs2vCic2ZjxsRlkAFWC, HfFQTCaopQ8cK8mCXY4H"
Life…,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is stuck in a cycle of negativity and needs validation and comfort.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,Here's a piece to brighten your day and lift your spirits.,,,,,,,,"Ibs2vCic2ZjxsRlkAFWC, HfFQTCaopQ8cK8mCXY4H"
Life…,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,"User is needing a chance to refocus, balance, and meditate on what’s important to them.",User is seeking art that encourages the unpredictable nature of life.,Life isn't always what we wanted to be or what we expected to be. You can have many twist and turns. However we can make choices and that make our life story more interesting every moment.,,,,,,,,
My family is doing well.,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,"User has a family that is doing well, feeling positive, motivated, and is seeking further encouragement.","User is seeking art that reminds them of family, connection, and love.","Aw, that's so wodnerful. Here's some happy family vibes for you''",,,,,,,,BEghMxjPmigKpRUY0B6x
My team really showed up tonight!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,User just won an exciting game with their team.,"User is seeking art that reminds them of a community, connection, and working together for a common goal.",,,,,,,,,
Nothing is going well.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is stuck in a cycle of negativity and needs validation and encouragement.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,Life can certainly get tough. here's some art that may uplift you.,,,,,,,,Ibs2vCic2ZjxsRlkAFWC
Nothing is going well.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is stuck in a cycle of negativity and needs validation and encouragement.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,Sometimes it is good to feel into that. Here's some art that may help you process.,,,,,,,,Ibs2vCic2ZjxsRlkAFWC
"Pride, now!",,,1,,1,,,,1,,1,1,,,,,,,,,,,,,,,0,1,1,,"User is seeking art that reminds them of pride, love, and solidarity.",,,,,,,,,ECv9xW9u10JBogZctA4x
"Pride, now!",,,,,0,,,,0,,0,0,,1,,,,,,,,1,1,1,,,1,0,1,,"User is seeking art that reminds them of pride, love, and solidarity.",,,,,,,,,ECv9xW9u10JBogZctA4x
Pride!,,,,,0,,,,0,,0,1,,,,,,,1,1,,1,,1,,,1,0,1,,"User is seeking art that reminds them of pride, love, and solidarity.",,,,,,,,,ECv9xW9u10JBogZctA4x
Show me something cool!,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,0,1,0,,User is seeking art that will give them a new perspective and give them a sense of awe.,,,,,,,,,
Show me something cool.,,,,,,1,1,,,,,,,,,,,,,,,,,,,,0,1,1,User wants something to make them think; challenge their mind.,,Something worth telling your friends about? I've got you covered!,,,,,,,,
Show me something different.,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,1,1,User wants something to make them think; challenge their mind.,User is seeking art that will give them a new perspective.,I hope that this art is some thing that you haven't seen before or at least brings up some thing worth thinking about.,,,,,,,,
Show me something mysterious.,,,,,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,User wants something to make them think; challenge their mind.,,Nothing like diving into the mystery. Check out this art that will charge your imagination.,,,,,,,,
So stupid!,,0,0,0,0,,0,0,0,0,0,0,0,,1,,1,1,,,1,,1,1,,,1,0,0,User is needing to process some negative emotions from a bad situation.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,"It sucks when a dumb situation happens. However, we can turn ourselves around by going to new surroundings.",0,0,0,0,1,1,0,
So stupid!,,0,0,0,0,,0,0,0,0,0,0,0,,1,,1,,,,,,,,,1,1,0,0,User is needing to process some negative emotions from a bad situation.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,"It sucks when a dumb situation happens. However, we can turn ourselves around by going to new surroundings.",0,0,0,0,1,1,0,
So stupid.,,0,0,0,0,,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,1,0,1,User is needing to process some negative emotions.,,"Ya, sometimes things just don't make sense. Hopefully this art can help put things back in order.",,,,,,,,Ibs2vCic2ZjxsRlkAFWC
Something cool.,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,1,0,,User is seeking art that will give them a new perspective and give them a sense of awe.,Something worth telling your friends about? I've got you covered!,,,,,,,,
Something different.,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,1,1,User wants something to make them think; challenge their mind.,User is seeking art that will give them a new perspective.,I hope that this art is some thing that you haven't seen before or at least brings up some thing worth thinking about.,,,,,,,,
The game didn't go well tonight.,,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,0,0,,,,,,,,,,,
The game tonight went really well.,,1,1,,,,1,,,,1,1,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
The moon is out!,,1,1,,,,1,1,,,1,,,,,,,,,,,,,,,,0,1,0,"User is or has experienced the outdoors tonight, noticing how beautiful the Moon is. This has put them in a state of awe and reflection. They are seeking more beauty and art encouraging reflection. They are seeking more beauty and art encouraging reflection.",User is seeking more beauty and art encouraging reflection.,"It's wonderful that you've taken time out to enjoy the world around you. The Earth is a beautiful place, and the moon is a significant part of that beauty.",,,,,,,,HfFQTCaopQ8cK8mCXY4H
The sun is beaming!,,1,1,,,,1,1,,,1,,0,,,,,,,,,,,,,,0,1,0,"User is or has experienced the outdoors today, noticing how beautiful the Sun is. This has put them in a state of awe and reflection. They are seeking more beauty and art encouraging reflection. They are seeking more beauty and art encouraging reflection.",User is seeking more beauty and art encouraging reflection.,I hope you've had time to enjoy it! Here's some beautiful art to go with your beautiful day!,,,,,,,,BEghMxjPmigKpRUY0B6x
The weather has turned out to be so nice today.,,1,1,,,,,1,,,1,,1,,,,,,,,,,,,,,0,1,0,User is or has experienced the outdoors today. This has put them in a state of awe and reflection. They are seeking more beauty and art encouraging reflection. They are seeking more beauty and art encouraging reflection.,User is seeking more beauty and art encouraging reflection.,I hope you've had time to enjoy it! Here's some beautiful art to go with your beautiful day!,,,,,,,,BEghMxjPmigKpRUY0B6x
The weather is beautiful.,,1,1,,,,,1,1,,1,,1,,,,,,,,,,,,,,0,1,0,User is or has experienced the outdoors today. This has put them in a state of awe and reflection. They are seeking more beauty and art encouraging reflection. They are seeking more beauty and art encouraging reflection.,User is seeking more beauty and art encouraging reflection.,I hope you've had time to enjoy it! Here's some beautiful art to go with your beautiful day!,,,,,,,,BEghMxjPmigKpRUY0B6x
The weather is cold.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,User is seeking feelings of warmth and care. Reminders of coziness.,User is seeking art that reminds them of warmth and coziness.,Cold days are great days to take it slow. Here’s some art that will slow you down.,,,,,,,,"HfFQTCaopQ8cK8mCXY4H, cold placeholder"
The weather is gloomy.,,0,0,0,0,,0,0,0,0,0,0,0,,,1,,,1,,,1,,,,,1,0,0,User is experiencing negative emotions due to the weather.,User is seeking art that reminds them of warmer more summer; the warmth and the beauty of all the living beings around.,"I know, sometimes the gloomy days can really bring down the mood. Here’s some contemplative art that will make you think, and might turn the day around.",,,,,,,,Ibs2vCic2ZjxsRlkAFWC
The weather is gorgeous!,,1,1,,,,1,1,1,,1,,1,,,,,,,,,,,,,,0,1,0,User is or has experienced the outdoors today. Making them feel energized and excited for what’s ahead! This has put them in a state of awe and reflection. They are seeking more beauty and art encouraging reflection.,User is seeking more beauty and art encouraging reflection.,,,,,,,,,"BEghMxjPmigKpRUY0B6x, ECv9xW9u10JBogZctA4x"
The weather is gorgeous.,,1,1,,,,,1,1,,1,,1,,,,,,,,,,,,,,0,1,0,User is or has experienced the outdoors today. This has put them in a state of awe and reflection. They are seeking more beauty and art encouraging reflection.,User is seeking more beauty and art encouraging reflection.,I hope you've had time to enjoy it! Here's some beautiful art to go with your beautiful day!,,,,,,,,BEghMxjPmigKpRUY0B6x
The weather is nice.,,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,0,1,0,User is or has experienced the outdoors today. This has put them in a state of awe and reflection. They are seeking more beauty and art encouraging reflection.,User is seeking more beauty and art encouraging reflection.,I hope you've had time to enjoy it! Here's some beautiful art to go with your beautiful day!,,,,,,,,BEghMxjPmigKpRUY0B6x
The world sucks.,,0,0,0,0,,0,0,0,0,0,0,0,,1,1,1,,1,,,1,,,,,1,0,0,User finds the injustices of the world to be overwhelming; and needs support in solidarity and affirming their values.,User is seeking art that calls people to action.,It's ok to feel that way. Sometimes the world is really horrible and we need to be hoenst about it. Here is some art that will help you feel some solidarity.,1,0,0,1,1,0,1,Ibs2vCic2ZjxsRlkAFWC
The world sucks…,,0,0,0,0,,0,0,0,0,0,0,0,,1,1,1,,1,,,1,1,1,,,1,0,0,User finds the injustices of the world to be overwhelming; and needs support in solidarity and affirming their values.,User is seeking art that calls people to action.,,1,0,0,1,1,0,1,
The world sucks…,,0,0,0,0,,0,0,0,0,0,0,0,1,,1,1,,1,,,1,1,1,1,,1,0,0,User finds the injustices of the world to be overwhelming; and needs support in solidarity and affirming their values.,User is seeking art that calls people to action.,,1,0,0,1,1,0,1,
Thought provoking.,,,,,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,User wants something to make them think; challenge their mind.,User is seeking art that challenges thinking and provokes thought.,I hope that this art can inspire some interesting thoughts.,,,,,,,,
Today is kind of lame.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is needing to process some negative emotions that came about from the days events.,User is seeking art that will energize them and show them the beauty of life.,Every day won't be the best; but we can certainly seek out beauty whereever we are. May I invite you to look at this art?,1,0,1,0,0,0,1,Ibs2vCic2ZjxsRlkAFWC
Today sucks.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is needing to process some negative emotions that came about from the days events.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,A bad day can really take its toll. I invite you to take time processing that through art and maybe some journaling.,0,0,1,,1,0,1,Ibs2vCic2ZjxsRlkAFWC
Ugh.,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,User is needing to process some negative emotions.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,Every day won't be the best; but we can certainly seek out beauty whereever we are. May I invite you to look at this art?,,,,,,,,Ibs2vCic2ZjxsRlkAFWC
What’s cool?,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,1,0,,User is seeking art that will give them a new perspective and give them a sense of awe.,,,,,,,,,
Why should I care about art?,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,
Winter…,,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,User does not like winter., They are seeking feelings of warmth and care. Reminders of coziness.,We can be a dead and cold season. However if you look closely there's a lot of beauty to be seen. It's a time to reflect on the value of the cycles of death around and how that translates into life everywhere.,,,,,,,,
Wow! Class was awesome today!,,1,1,,,,1,1,1,,1,,,,,,,,,,,,,,,,0,1,0,User just had a great class and is feeling positive and motivated by their education.,"User is seeking art that reminds them of the success found from hard, passionate studying and effort. Encouraging them to continue the journey of learning.",Woohoo! Let’s get it!,,,,,,,,TbdFRlmPgNrWwrD5jyjM
Yo!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yo! What’s up?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's up?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don’t know.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don’t know…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don't know!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don't know?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meh.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meh…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hm…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
